Date,Profit/Losses
10-Jan,1088983
10-Feb,-354534
10-Mar,276622
10-Apr,-728133
10-May,852993
10-Jun,563721
10-Jul,-535208
10-Aug,632349
10-Sep,-173744
10-Oct,950741
10-Nov,-785750
10-Dec,-1194133
11-Jan,-589576
11-Feb,-883921
11-Mar,443564
11-Apr,837887
11-May,1081472
11-Jun,464033
11-Jul,-1066544
11-Aug,323846
11-Sep,-806551
11-Oct,487053
11-Nov,1128811
11-Dec,791398
12-Jan,739367
12-Feb,-197825
12-Mar,666016
12-Apr,589771
12-May,489290
12-Jun,-471439
12-Jul,120417
12-Aug,175347
12-Sep,855449
12-Oct,605195
12-Nov,-235220
12-Dec,347138
13-Jan,298510
13-Feb,163254
13-Mar,1141840
13-Apr,542630
13-May,99841
13-Jun,752765
13-Jul,-252949
13-Aug,914424
13-Sep,679524
13-Oct,514377
13-Nov,462102
13-Dec,159782
14-Jan,878810
14-Feb,-946748
14-Mar,340335
14-Apr,292032
14-May,502266
14-Jun,265852
14-Jul,851017
14-Aug,-549615
14-Sep,290162
14-Oct,755391
14-Nov,1073202
14-Dec,313000
15-Jan,241132
15-Feb,1036589
15-Mar,853904
15-Apr,-388932
15-May,982952
15-Jun,537759
15-Jul,547784
15-Aug,-496214
15-Sep,854181
15-Oct,934719
15-Nov,-288531
15-Dec,-184383
16-Jan,659541
16-Feb,-1149123
16-Mar,355882
16-Apr,662284
16-May,518681
16-Jun,-748256
16-Jul,-910775
16-Aug,951227
16-Sep,898241
16-Oct,-729004
16-Nov,-112209
16-Dec,516313
17-Jan,607208
17-Feb,382539
